-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     280.568us         0.04%     280.568us       3.897us            72  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     280.354us         0.04%     280.354us       5.841us            48  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     280.218us         0.04%     280.218us       2.669us           105  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     276.770us         0.04%     276.770us       3.844us            72  
                                     aten::floor_divide         0.02%     269.030us         0.05%     598.110us      10.137us     268.787us         0.04%     268.787us       4.556us            59  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     268.787us         0.04%     268.787us       4.978us            54  
                                         hipEventRecord         0.08%       1.061ms         0.08%       1.061ms       2.600us     268.286us         0.04%     268.286us       0.658us           408  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     254.955us         0.03%     254.955us       5.312us            48  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     251.950us         0.03%     251.950us       4.940us            51  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     228.870us         0.03%     228.870us       4.488us            51  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     226.104us         0.03%     226.104us      12.561us            18  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     221.625us         0.03%     221.625us       3.958us            56  
                                            aten::clamp         0.02%     282.150us         0.04%     448.270us       8.301us     216.428us         0.03%     216.428us       4.008us            54  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     216.428us         0.03%     216.428us       4.008us            54  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     186.325us         0.02%     186.325us       5.176us            36  
                     hipThreadExchangeStreamCaptureMode         0.00%      29.820us         0.00%      29.820us       0.292us     182.184us         0.02%     182.184us       1.786us           102  
                                           aten::gather         0.04%     446.351us         0.06%     752.371us      13.435us     178.464us         0.02%     178.464us       3.187us            56  
                                _fused_post_conv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     178.393us         0.02%     178.393us       3.717us            48  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     166.026us         0.02%     166.026us       3.075us            54  
                                      aten::bitwise_not         0.03%     329.930us         0.04%     475.920us       4.807us     163.072us         0.02%     163.072us       1.647us            99  
void at::native::vectorized_elementwise_kernel<16, a...         0.00%       0.000us         0.00%       0.000us       0.000us     163.072us         0.02%     163.072us       3.397us            48  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     162.908us         0.02%     162.908us       3.074us            53  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     137.845us         0.02%     137.845us       3.829us            36  
                                         hipGraphLaunch         4.23%      53.112ms         4.23%      53.114ms     450.119us     137.824us         0.02%     255.979us       2.169us           118  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     136.371us         0.02%     136.371us       1.976us            69  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.257s
Self CUDA time total: 752.030ms

